C�digo;Produto; Custo de compra ;
412;Vinho Rosé La Piu Belle 2022 - Viña Vik; R$ 91,39 ;
195;Vinho Rosé La Piu Belle 2024 - Viña Vik; R$ 95,67 ;
429;Vinho Rosé La Piu Belle 2024 Magnum - Viña Vik; R$ 201,50 ;
401;Vinho Rosé La Spinetta Il Rose Di Casanova 2019 - La Spinetta; R$ 148,55 ;
80;Vinho Rosé Marius By Michel Chapoutier 2020 - M. Chapoutier; R$ 55,46 ;
615;Vinho Rosé Rosa 2023 - Bakkanali; R$ 259,04 ;
428;Vinho Rosé Rosato Cappuccetto Toscana 2022 - Podere Le Ripi; R$ 131,76 ;
599;VINHO TARAPACA COSECHA CHARDONNAY 750ML UN 750ML QTD. 48.00 UN; R$ 27,01 ;
601;Vinho Tinto 50th Anniversary Cabernet Sauvignon 2022 - Caymus; R$ 940,35 ;
496;Vinho Tinto A d'Aussières 2023 - Domaine D'Aussières; R$ 108,19 ;
512;Vinho Tinto Aamarone Satinato 2021 - Montresor; R$ 269,56 ;
385;Vinho Tinto Alión 2019 - Vega Sicilia; R$ 1.085,07 ;
375;Vinho Tinto Almaviva 2022 - Almaviva; R$ 1.566,42 ;
623;Vinho Tinto Aloxe Corton 2022 - Albert Bichot; R$ 268,04 ;
238;Vinho Tinto Alto do Joa 2017 - Casa do Joa; R$ 301,38 ;
500;Vinho Tinto Amarone Della Valpoliccella Classico DOCG 2022 - Sensi; R$ 423,05 ;
477;Vinho Tinto Amarone Della Valpolicella Classico 2018 Corte Vaona - Novaia; R$ 327,60 ;
102;Vinho Tinto Amma 2020 - Herdade do Arrepiado Velho; R$ 879,33 ;
614;Vinho Tinto Bakkanali K 2023 - Bakkanali; R$ 174,29 ;
432;Vinho Tinto Balade Arroyo Pinot Noir 2022 - Belle Gloss; R$ 381,97 ;
537;Vinho Tinto Barbaresco 2021 - Castello Di Verduno; R$ 341,45 ;
542;Vinho Tinto Barbaresco 2021 - Giuseppe Cortese; R$ 291,46 ;
600;Vinho Tinto Barbaresco 2021 Magnum - Giuseppe Cortese; R$ 629,51 ;
538;Vinho Tinto Barbaresco Rabajá 2021 - Giuseppe Cortese; R$ 462,83 ;
302;Vinho Tinto Barbera D'Alba DOC Superiore 2021 - Scarzello; R$ 183,41 ;
326;Vinho Tinto Barbera D'Alba DOC Vignota 2022 - Conterno Fantino; R$ 163,05 ;
311;Vinho Tinto Barbera D'Alba Punta 2020 - Azelia; R$ 181,87 ;
327;Vinho Tinto Barbera D'Alba Zio Nando 2021 - Rivetto; R$ 184,29 ;
299;Vinho Tinto Barbera D'Asti DOCG Bricco Dell'Uccellone 2020 - Braida; R$ 492,45 ;
341;Vinho Tinto Barbera Dasti Battaglione 2019 - Ratti; R$ 176,77 ;
398;Vinho Tinto Barbera Dasti Battaglione 2023 - Ratti; R$ 148,53 ;
469;Vinho Tinto Barolo 2020 - Elio Altare; R$ 538,22 ;
